19 April 2024,Avian Influenza A(H9N2),Viet Nam
10 April 2024,Rabies,Timor-Leste
9 April 2024,Avian Influenza A(H5N1),United States of America
2 April 2024,Avian Influenza A(H5N1),Viet Nam
20 March 2024,Yellow fever,African Region (AFRO)
27 February 2024,Nipah virus infection,Bangladesh
16 February 2024,Middle East Respiratory Syndrome Coronavirus,Kingdom of Saudi Arabia
13 February 2024,Avian Influenza A(H10N5) and Influenza A(H3N2) coinfection,China
9 February 2024,Influenza A(H1N1) variant virus,Spain
8 February 2024,Western Equine Encephalitis,Uruguay
8 February 2024,Avian Influenza A (H5N1),Cambodia
7 February 2024,Influenza A (H1N1) variant virus,Brazil
11 January 2024,Circulating vaccine-derived poliovirus type 2 (cVDPV2),Indonesia
28 December 2023,Western equine encephalitis,Argentina
21 December 2023,Dengue,Global situation
1 December 2023,Influenza A(H1N2) variant virus infection,United Kingdom of Great Britain and Northern Ireland
29 November 2023,Avian Influenza A (H5N1),Cambodia
23 November 2023,Mpox (monkeypox),Democratic Republic of the Congo
16 October 2023,Dengue,Chad
3 October 2023,Nipah virus infection,India
13 September 2023,Influenza A (H1N1) variant virus,the Netherlands
29 August 2023,Middle East respiratory syndrome coronavirus,Saudi Arabia
23 August 2023,Measles,Chile
11 August 2023,Influenza A (H1N2) variant virus,United States of America
11 August 2023,Dengue,Bangladesh
28 July 2023,Circulating vaccine-derived poliovirus type 2 (cVDPV2),Kenya
28 July 2023,Circulating vaccine-derived poliovirus type 2 (cVDPV2),United Republic of Tanzania
24 July 2023,Middle East respiratory syndrome coronavirus,United Arab Emirates
19 July 2023,Dengue,the Region of the Americas
16 July 2023,Influenza A(H5N1) in cats,Poland
7 July 2023,Enterovirus-Echovirus 11 Infection,the European Region
16 June 2023,Influenza A H1N1 variant virus,Brazil
9 June 2023,Marburg virus disease,Equatorial Guinea
2 June 2023,Marburg virus disease,United Republic of Tanzania
31 May 2023,Enterovirus Infection,France
30 May 2023,Avian Influenza A H5N1,United Kingdom of Great Britain and Northern Ireland
17 May 2023,Myocarditis,United Kingdom of Great Britain and Northern Ireland
8 May 2023,Marburg virus disease,Equatorial Guinea and the United Republic of Tanzania
5 May 2023,Acute hepatitis E,South Sudan
4 May 2023,Measles,Ethiopia
1 May 2023,Lassa fever,Nigeria
